archivo,edad,sexo,raza,mtcnn_confidence,nose_x,nose_y,mouth_right_x,mouth_right_y,right_eye_x,right_eye_y,left_eye_x,left_eye_y,mouth_left_x,mouth_left_y
42_0_0_20170117154746484.jpg,42,Hombre,Blanco,,,,,,,,,,,
50_0_3_20170113184235991.jpg,50,Hombre,Indio,0.9991317391395568,120.0,132.0,153.0,161.0,152.0,88.0,72.0,89.0,68.0,162.0
58_0_0_20170117193919120.jpg,58,Hombre,Blanco,0.998451828956604,110.0,137.0,146.0,178.0,152.0,89.0,70.0,87.0,70.0,179.0
29_0_0_20170117180729137.jpg,29,Hombre,Blanco,0.9935769438743591,106.0,135.0,146.0,167.0,152.0,88.0,73.0,88.0,78.0,172.0
66_0_0_20170120225917395.jpg,66,Hombre,Blanco,0.9996769428253174,115.0,129.0,146.0,173.0,151.0,90.0,71.0,89.0,75.0,173.0
116_1_0_20170120134921760.jpg,116,Mujer,Blanco,0.9929683804512024,156.0,129.0,189.0,173.0,181.0,82.0,90.0,89.0,109.0,181.0
31_1_1_20170116223015265.jpg,31,Mujer,Negro,0.9999839067459106,120.0,124.0,149.0,161.0,151.0,88.0,70.0,87.0,75.0,160.0
24_1_2_20170116171607480.jpg,24,Mujer,Asiatico,0.999972939491272,114.0,129.0,141.0,175.0,151.0,89.0,72.0,90.0,82.0,176.0
45_0_0_20170117185108392.jpg,45,Hombre,Blanco,0.9998025298118591,118.0,141.0,146.0,179.0,150.0,89.0,70.0,91.0,77.0,180.0
10_0_0_20170110220557169.jpg,10,Hombre,Blanco,0.9894681572914124,108.0,130.0,151.0,160.0,151.0,87.0,68.0,87.0,67.0,161.0
85_0_0_20170120221827893.jpg,85,Hombre,Blanco,0.9987364411354065,111.0,134.0,143.0,189.0,152.0,89.0,70.0,86.0,76.0,186.0
23_0_1_20170115231442487.jpg,23,Hombre,Negro,0.997187077999115,128.0,118.0,173.0,166.0,165.0,75.0,70.0,90.0,93.0,177.0
26_0_3_20170117153030981.jpg,26,Hombre,Indio,0.9983195662498474,108.0,138.0,150.0,173.0,154.0,87.0,70.0,86.0,67.0,169.0
26_1_1_20170112205853539.jpg,26,Mujer,Negro,0.999872088432312,95.0,134.0,141.0,185.0,159.0,94.0,55.0,84.0,45.0,173.0
42_0_0_20170119204242599.jpg,42,Hombre,Blanco,0.9997466206550598,106.0,143.0,161.0,163.0,151.0,87.0,71.0,89.0,74.0,164.0
4_1_1_20170109194656449.jpg,4,Mujer,Negro,0.9874885678291321,114.0,131.0,151.0,173.0,152.0,88.0,70.0,88.0,73.0,174.0
32_1_0_20170117182439717.jpg,32,Mujer,Blanco,0.999850869178772,104.0,131.0,142.0,177.0,162.0,87.0,58.0,81.0,59.0,172.0
9_0_0_20170110224558724.jpg,9,Hombre,Blanco,0.9954636693000793,114.0,129.0,143.0,170.0,152.0,87.0,72.0,88.0,83.0,172.0
50_0_0_20170111171747287.jpg,50,Hombre,Blanco,0.992177426815033,117.0,137.0,144.0,182.0,151.0,88.0,68.0,89.0,78.0,181.0
12_0_0_20170117141849040.jpg,12,Hombre,Blanco,0.9992409944534302,120.0,153.0,136.0,180.0,151.0,89.0,69.0,88.0,74.0,181.0
2_1_3_20161220222832003.jpg,2,Mujer,Indio,0.9815163612365723,111.0,146.0,151.0,181.0,167.0,89.0,62.0,88.0,56.0,181.0
23_1_0_20170117144901132.jpg,23,Mujer,Blanco,0.9980224370956421,179.0,140.0,195.0,164.0,182.0,81.0,100.0,103.0,129.0,186.0
35_1_0_20170117190509274.jpg,35,Mujer,Blanco,0.9982786178588867,93.0,154.0,151.0,186.0,157.0,87.0,74.0,85.0,79.0,186.0
76_1_2_20170110143551965.jpg,76,Mujer,Asiatico,0.9998964071273804,114.0,136.0,156.0,172.0,150.0,86.0,69.0,84.0,67.0,176.0
